Numero;Nom;Prenom;DDN;VillePays;DateEmbauche
1;Harrison;Gerald;20/02/1997;Paris  -FR;2015
2;Roosevelt;Bill;11/07/2000;PARISS-  UK;2001
3;Tyler;Franklin;05/08/1994;Londres - UK;2002
4;Johnson;Woodrow;19/06/1976;LONdres-FR;1980
5;hatem;Woodrow;16/01/1989;NewYork-FR;2019
6;Truman;William;02/10/1994;PARis - FRR;2000
7;Monroe;Thomas;17/07/2006;LONDRES - UKK;2020
8;Grant;Benjamin;20/06/1997;  Lyon - Fr;2019
9;Truman;Harry;03/07/1996;New York - US;2020
10;Harrison;Bill;23/03/1990;londres;2012
11;2HAYON;Bob;;New York - USA;1999
12;artebBal;Bob;01/02/2025;Liverpool - UK;1990
13;Y;Bob;03/07/2000;paris - FR;2000
